@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {empty,present}

@WEIGHT 1.0,1.0,1.0

@DATA
0,0,36550.0,empty
0,0,46846.0,empty
0,0,57080.0,empty
0,0,67688.0,empty
0,0,78421.0,empty
0,0,89294.0,empty
1,0,3120.0,present
5,3,705.2,present
5,3,1263.6,present
1,0,2106.0,present
0,0,10686.0,present
4,2,3120.0,present
3,1,5486.0,present
4,2,1677.0,present
1,0,4618.0,present
0,0,14102.0,present
0,0,24867.0,present
1,0,2808.0,present
1,0,78.0,present
6,4,2124.1666666666665,present
4,2,1345.5,present
2,0,3120.0,present
2,0,5304.0,present
1,0,3120.0,present
2,0,5811.0,present
2,0,4282.5,present
5,2,939.0,present
3,1,2106.0,present
5,3,933.0,present
4,2,1092.0,present
7,5,802.2857142857143,present
5,1,1294.8,present
3,1,1107.6666666666667,present
4,0,1232.5,present
6,5,754.0,present
4,1,1185.5,present
3,0,1924.0,present
3,0,2610.6666666666665,present
0,0,11169.0,present
2,1,5928.0,present
3,1,3146.0,present
0,0,1201.0,present
2,1,796.0,present
5,3,914.2,present
4,1,1279.25,present
0,0,7332.0,present
2,1,3838.0,present
2,0,967.0,present
2,0,3939.0,present
0,0,14695.0,present
0,0,25365.0,present
6,0,956.6666666666666,present
3,0,2080.0,present
2,1,655.0,present
6,4,585.0,present
2,0,1443.0,present
0,0,11372.0,present
1,0,1451.0,present
1,0,94.0,present
2,0,2550.5,present
1,0,2746.0,present
1,0,2933.0,present
1,0,9812.0,present
3,2,3551.6666666666665,present
0,0,14212.0,present
3,1,6838.0,present
0,0,281.0,present
1,0,9204.0,present
0,0,10390.0,present
1,0,14289.0,present
0,0,12106.0,present
0,0,22402.0,present
0,0,32776.0,present
0,0,43072.0,present
0,0,53743.0,present
0,0,64195.0,present
0,0,74381.0,present
0,0,84584.0,present
0,0,95878.0,present
0,0,105815.0,present
1,0,3869.0,present
1,0,9141.0,present
0,0,14102.0,present
0,0,24710.0,present
0,0,34678.0,present
0,0,45287.0,present
0,0,55520.0,present
0,0,65863.0,present
0,0,77095.0,present
3,2,25766.0,present
1,0,20358.0,present
1,0,6474.0,present
1,0,5148.0,present
0,0,16692.0,present
2,0,12253.5,present
4,2,1599.25,present
1,0,1092.0,present
0,0,20108.0,present
2,0,12753.0,present
1,0,5148.0,present
0,0,17940.0,present
0,0,28860.0,present
1,0,32526.0,present
3,1,3120.0,present
0,0,16910.0,present
0,0,27877.0,present
0,0,38438.0,present
0,0,48734.0,present
0,0,59342.0,present
0,0,70059.0,present
1,0,74100.0,present
0,0,16551.0,present
1,0,16255.0,present
0,0,18439.0,present
0,0,28766.0,present
0,0,39062.0,present
1,0,40638.0,present
0,0,17644.0,present
0,0,28080.0,present
0,0,11326.0,empty
0,0,22246.0,empty
0,0,32573.0,empty
0,0,43212.0,empty
0,0,54397.0,empty
0,0,65317.0,empty
0,0,82586.0,empty
0,0,93366.0,empty
0,0,103350.0,empty
0,0,113989.0,empty
0,0,124036.0,empty
0,0,134332.0,empty
0,0,148419.0,empty
0,0,158590.0,empty
0,0,169057.0,empty
0,0,179977.0,empty
0,0,190539.0,empty
0,0,200835.0,empty
0,0,307882.0,empty
0,0,318537.0,empty
0,0,329239.0,empty
0,0,339675.0,empty
0,0,349799.0,empty
0,0,359815.0,empty
0,0,18611.0,present
0,0,29811.0,present
0,0,40747.0,present
0,0,51090.0,present
0,0,61807.0,present
0,0,72727.0,present
0,0,96049.0,present
0,0,106423.0,present
0,0,117031.0,present
2,1,60411.0,present
0,0,15304.0,present
0,0,25818.0,present
1,0,9204.0,present
1,0,8190.0,present
0,0,17815.0,present
0,0,28517.0,present
2,0,15288.0,present
0,0,17909.0,present
1,0,20358.0,present
0,0,16973.0,present
2,1,9204.0,present
1,0,14274.0,present
1,0,2106.0,present
0,0,19937.0,present
0,0,14243.0,present
2,1,9204.5,present
3,1,3120.0,present
1,0,5460.0,present
1,0,12246.0,present
0,0,14040.0,present
0,0,24336.0,present
0,0,34632.0,present
1,0,40653.0,present
1,0,11232.0,present
2,1,2106.0,present
0,0,16599.0,present
2,0,2106.0,present
0,0,16146.0,present
3,0,7176.0,present
0,0,12496.0,present
1,0,21373.0,present
2,0,1591.0,present
1,0,10218.0,present
0,0,16302.0,present
1,0,23400.0,present
0,0,12901.0,present
0,0,23509.0,present
1,0,26442.0,present
0,0,53071.0,empty
0,0,62962.0,empty
0,0,73882.0,empty
0,0,84802.0,empty
0,0,94926.0,empty
0,0,105846.0,empty
0,0,116142.0,empty
0,0,126454.0,empty
0,0,137514.0,empty
0,0,147810.0,empty
0,0,158652.0,empty
0,0,168948.0,empty
0,0,179244.0,empty
0,0,189431.0,empty
0,0,200351.0,empty
0,0,211240.0,empty
0,0,222144.0,empty
0,0,232440.0,empty
0,0,243064.0,empty
0,0,253360.0,empty
0,0,263656.0,empty
0,0,274233.0,empty
0,0,284779.0,empty
0,0,295075.0,empty
0,0,305371.0,empty
0,0,315667.0,empty
0,0,325963.0,empty
0,0,335947.0,empty
0,0,346913.0,empty
0,0,455708.0,empty
0,0,466316.0,empty
0,0,476300.0,empty
0,0,486596.0,empty
0,0,496674.0,empty
0,0,507282.0,empty
0,0,517921.0,empty
0,0,528295.0,empty
0,0,538591.0,empty
0,0,549511.0,empty
