@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {present,empty}

@WEIGHT 1.0,1.0,1.0

@DATA
7,1,3621.4285714285716,present
1,0,5460.0,present
12,0,3939.0,present
4,1,2671.5,present
0,0,50185.0,present
2,0,33852.0,present
1,0,37908.0,present
3,0,10192.0,present
4,0,4192.5,present
8,1,4446.0,present
6,0,4667.0,present
12,3,1657.5,present
8,2,2544.75,present
3,0,12220.0,present
3,0,9854.0,present
4,0,2242.5,present
6,1,5629.0,present
8,1,4192.625,present
11,1,2233.6363636363635,present
10,1,2113.8,present
0,0,65723.0,present
12,2,6896.5,present
10,0,2854.8,present
8,1,1911.0,present
6,2,5798.0,present
5,0,3229.2,present
7,0,5404.285714285715,present
7,2,1259.142857142857,present
3,0,12662.0,present
4,1,7488.0,present
5,0,4446.0,present
3,0,7602.333333333333,present
6,1,5964.333333333333,present
1,0,21684.0,present
5,2,6224.4,present
2,0,14781.0,present
3,0,8970.0,present
2,0,12246.0,present
7,3,3844.285714285714,present
10,5,2207.4,present
0,0,44694.0,present
0,0,75005.0,present
0,0,105269.0,present
3,1,43342.0,present
1,0,22699.0,present
13,3,2268.0,present
3,0,7852.0,present
1,0,33540.0,present
3,0,5486.0,present
1,0,35568.0,present
8,3,4260.75,present
1,0,78.0,present
3,1,19006.0,present
2,0,13416.0,present
0,0,33993.0,present
1,0,57174.0,present
0,0,36770.0,present
2,1,31005.5,present
4,0,7429.5,present
3,2,6500.0,present
5,0,4321.2,present
4,1,8443.5,present
10,6,889.2,present
9,4,3033.3333333333335,present
7,4,3019.714285714286,present
6,1,4277.0,present
4,0,6474.0,present
12,1,2164.5,present
6,1,3263.0,present
6,1,4108.0,present
5,1,6895.2,present
7,1,3264.8571428571427,present
9,3,2331.3333333333335,present
4,1,6162.0,present
6,3,4810.0,present
1,0,15289.0,present
2,1,11232.0,present
