@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {present,empty}

@WEIGHT 1.0,1.0,1.0

@DATA
11,6,631.0909090909091,present
3,1,6349.333333333333,present
7,2,1470.857142857143,present
6,3,1092.0,present
10,6,1598.9,present
5,1,3525.6,present
8,5,1092.0,present
3,2,1430.0,present
0,0,34695.0,present
11,5,4155.363636363636,present
5,2,3120.0,present
8,3,1472.25,present
7,5,512.5714285714286,present
6,2,4134.0,present
5,1,3322.8,present
11,7,737.4545454545455,present
5,0,3120.0,present
6,3,1768.0,present
10,7,1700.4,present
6,2,2613.0,present
7,4,1236.857142857143,present
9,6,1993.3333333333333,present
7,2,1774.0,present
9,5,1091.888888888889,present
3,1,8528.0,present
7,2,2106.0,present
6,3,1768.0,present
0,0,26396.0,present
4,2,10471.5,present
0,0,19625.0,present
0,0,39219.0,empty
0,0,59811.0,empty
0,0,80403.0,empty
0,0,100995.0,empty
0,0,121587.0,empty
0,0,31231.0,empty
1,0,14274.0,empty
4,1,3377.25,empty
0,0,29110.0,empty
0,0,49343.0,empty
7,5,8192.285714285714,empty
3,1,14040.0,empty
3,1,754.0,empty
1,0,23400.0,empty
0,0,32121.0,empty
3,1,15288.0,empty
0,0,24009.0,empty
0,0,25881.0,empty
0,0,46473.0,empty
0,0,67065.0,empty
4,2,20611.75,empty
0,0,20030.0,empty
0,0,40622.0,empty
0,0,77126.0,empty
0,0,97718.0,empty
8,4,13386.75,empty
0,0,24320.0,empty
1,0,25428.0,empty
0,0,39140.0,empty
0,0,21559.0,empty
0,0,41839.0,empty
0,0,62431.0,empty
0,0,83023.0,empty
0,0,103615.0,empty
1,0,109590.0,empty
0,0,67392.0,empty
1,0,83226.0,empty
1,0,5148.0,empty
0,0,34539.0,empty
1,0,50778.0,empty
3,1,5824.0,present
2,1,9711.0,present
0,0,24164.0,present
0,0,44756.0,present
0,0,65348.0,present
3,1,25428.0,present
0,0,29000.0,present
0,0,49592.0,present
0,0,70184.0,present
2,0,40653.5,present
4,2,4894.5,present
1,0,15912.0,present
3,2,754.0,present
0,0,36146.0,present
7,2,6451.714285714285,present
0,0,25616.0,present
3,1,12584.0,present
6,3,2275.0,present
1,0,35568.0,present
1,0,11232.0,present
0,0,38329.0,present
0,0,58921.0,present
0,0,79763.0,present
0,0,100355.0,present
0,0,156015.0,present
0,0,176608.0,present
0,0,20062.0,present
1,0,36582.0,present
0,0,23728.0,present
0,0,44320.0,present
0,0,93085.0,present
0,0,113475.0,present
0,0,134067.0,present
0,0,154659.0,present
0,0,175251.0,present
0,0,196155.0,present
0,0,136500.0,present
1,0,142740.0,present
0,0,34039.0,present
0,0,54257.0,present
0,0,75036.0,present
0,0,95894.0,present
0,0,119606.0,present
0,0,140822.0,present
0,0,161414.0,present
0,0,182318.0,present
0,0,203534.0,present
0,0,224219.0,present
0,0,65629.0,present
0,0,86533.0,present
0,0,107749.0,present
0,0,128154.0,present
1,0,142740.0,present
2,1,2808.0,present
0,0,104411.0,present
0,0,125315.0,present
0,0,146531.0,present
0,0,167435.0,present
3,1,60606.0,present
3,0,3822.0,present
2,0,2808.0,empty
0,0,35053.0,empty
0,0,55957.0,empty
0,0,77173.0,empty
0,0,98389.0,empty
0,0,118045.0,empty
0,0,141133.0,empty
0,0,161788.0,empty
0,0,182692.0,empty
0,0,203908.0,empty
0,0,224812.0,empty
0,0,245716.0,empty
0,0,269116.0,empty
0,0,290332.0,empty
0,0,310924.0,empty
3,1,104988.0,empty
0,0,34195.0,empty
0,0,55411.0,empty
0,0,80060.0,empty
0,0,100652.0,empty
0,0,120620.0,empty
0,0,141836.0,empty
0,0,162740.0,empty
0,0,182708.0,empty
2,0,12441.0,empty
2,0,16497.0,empty
7,3,1214.5714285714287,empty
1,0,780.0,empty
0,0,20155.0,empty
0,0,41262.0,empty
0,0,69373.0,empty
0,0,89341.0,empty
0,0,110557.0,empty
0,0,131134.0,empty
0,0,152038.0,empty
0,0,172942.0,empty
0,0,195718.0,empty
0,0,216622.0,empty
0,0,237838.0,empty
0,0,257931.0,empty
0,0,279147.0,empty
0,0,300082.0,empty
0,0,322858.0,empty
0,0,344074.0,empty
0,0,364042.0,empty
0,0,384946.0,empty
0,0,406162.0,empty
0,0,429858.0,empty
0,0,453773.0,empty
0,0,474475.0,empty
11,5,999.8181818181819,present
7,2,1597.857142857143,present
10,6,1154.4,present
11,6,1120.3636363636363,present
10,5,1224.6,present
8,4,1218.75,present
10,6,990.6,present
8,5,1511.25,present
10,4,1224.6,present
8,3,1472.25,present
12,6,689.0,present
7,2,1860.857142857143,present
9,4,1239.3333333333333,present
8,3,1599.0,present
10,6,1021.8,present
10,6,1193.4,present
7,3,1470.857142857143,present
9,3,1759.3333333333333,present
12,7,864.5,present
9,6,1317.3333333333333,present
4,0,3003.0,present
5,0,4336.8,present
10,6,1092.0,present
8,3,1877.875,present
10,7,990.6,present
9,5,1768.0,present
10,6,990.6,present
7,2,1526.5714285714287,present
13,7,690.0,present
10,4,990.6,present
7,1,2050.285714285714,present
10,5,1092.0,present
10,6,1092.1,present
12,8,669.5,present
10,8,1092.0,present
11,6,815.4545454545455,present
10,4,1294.8,present
10,4,990.6,present
10,5,1021.8,present
10,5,1092.0,present
8,1,1472.25,present
7,0,1860.857142857143,present
2,0,8689.5,present
4,1,5148.25,present
6,2,1768.0,present
7,5,2108.1428571428573,present
11,6,1120.3636363636363,present
8,4,1589.25,present
9,3,1317.3333333333333,present
6,4,1768.0,present
9,5,1655.4444444444443,present
10,7,787.8,present
8,4,1345.5,present
5,2,3322.8,present
9,6,1542.6666666666667,present
7,6,802.2857142857143,present
2,0,14274.0,present
5,2,1903.2,present
10,6,1092.0,present
6,2,2275.0,present
6,2,2158.0,present
8,4,1218.75,present
10,6,1294.8,present
9,7,1204.6666666666667,present
13,8,624.0,present
8,2,1218.75,present
7,3,1381.7142857142858,present
11,8,531.8181818181819,present
11,7,999.8181818181819,present
7,2,1903.142857142857,present
10,6,787.8,present
11,8,723.2727272727273,present
8,3,1092.0,present
4,2,3701.0,present
9,7,528.6666666666666,present
11,6,723.2727272727273,present
10,5,1021.8,present
3,1,1768.0,present
7,2,1236.857142857143,present
1,0,8190.0,present
1,0,21372.0,present
0,0,35194.0,present
0,0,55786.0,present
1,0,73086.0,present
11,7,815.4545454545455,present
11,7,999.8181818181819,present
9,2,1430.0,present
10,7,787.8,present
9,6,977.6666666666666,present
1,0,3120.0,present
1,0,153193.0,present
2,1,11739.0,present
0,0,28719.0,present
0,0,49155.0,present
0,0,70060.0,present
0,0,90340.0,present
0,0,25787.0,empty
2,1,15795.0,empty
0,0,33244.0,empty
0,0,47736.0,empty
0,0,68641.0,empty
0,0,30732.0,empty
0,0,51324.0,empty
0,0,71604.0,empty
3,1,3120.0,empty
0,0,28751.0,empty
0,0,49343.0,empty
0,0,24211.0,empty
0,0,44803.0,empty
1,0,12246.0,empty
2,0,10725.0,empty
0,0,31169.0,empty
1,0,39624.0,empty
1,0,22386.0,empty
0,0,29063.0,empty
0,0,60778.0,empty
1,0,65988.0,empty
0,0,35038.0,empty
2,0,24414.0,empty
3,0,2444.0,empty
0,0,30389.0,empty
0,0,25584.0,empty
0,0,46332.0,empty
0,0,66924.0,empty
0,0,87516.0,empty
1,0,2106.0,empty
0,0,48173.0,empty
0,0,68765.0,empty
0,0,89357.0,empty
2,0,51285.0,empty
0,0,25850.0,empty
0,0,46442.0,empty
0,0,24976.0,empty
0,0,45256.0,empty
1,0,4134.0,empty
2,0,18119.5,empty
0,0,31496.0,empty
2,1,21879.0,empty
3,0,3458.0,empty
0,0,23197.0,empty
0,0,43789.0,empty
2,0,30498.0,empty
0,0,23431.0,empty
1,0,1092.0,empty
