@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {present,empty}

@WEIGHT 1.0,1.0,1.0

@DATA
0,0,96689.0,present
0,0,126953.0,present
0,0,157529.0,present
0,0,187824.0,present
0,0,218712.0,present
0,0,249288.0,present
0,0,279552.0,present
13,2,1638.0,present
12,7,1423.5,present
3,0,2106.0,present
4,1,7936.5,present
7,3,1181.142857142857,present
10,6,3829.8,present
1,0,2106.0,present
0,0,62088.0,present
3,0,26078.0,present
7,1,5448.857142857143,present
9,4,1612.0,empty
0,0,40077.0,empty
0,0,70965.0,empty
0,0,101229.0,empty
0,0,90434.0,empty
0,0,121322.0,empty
0,0,29905.0,empty
0,0,60169.0,empty
0,0,47907.0,present
0,0,78796.0,present
5,0,19390.8,present
9,7,3458.0,present
8,2,2223.0,empty
1,0,43680.0,empty
4,0,6415.5,empty
2,1,585.0,empty
1,0,44694.0,empty
4,1,8950.75,empty
0,0,37455.0,empty
0,0,68343.0,empty
0,0,76003.0,empty
0,0,106891.0,empty
0,0,137779.0,empty
0,0,168667.0,empty
0,0,202675.0,empty
0,0,233564.0,empty
0,0,264452.0,empty
0,0,294716.0,empty
0,0,39483.0,empty
0,0,70371.0,empty
0,0,101259.0,empty
2,1,62439.0,empty
0,0,51293.0,empty
0,0,81869.0,empty
7,2,12558.0,empty
0,0,50747.0,empty
0,0,51792.0,empty
0,0,82368.0,empty
3,0,36218.0,empty
0,0,33306.0,empty
14,4,1537.7142857142858,present
12,8,1287.0,present
6,3,5813.5,empty
1,0,19344.0,empty
4,0,5908.5,present
13,9,1560.0,present
13,8,1170.0,present
14,7,1092.0,present
5,2,19344.0,present
3,2,6162.0,present
3,0,5356.0,present
0,0,53742.0,present
0,0,112804.0,empty
1,0,140010.0,empty
0,0,33634.0,empty
2,1,17316.0,empty
1,0,55848.0,empty
0,0,47440.0,empty
0,0,78328.0,empty
2,1,41652.0,empty
0,0,41059.0,present
0,0,71947.0,present
0,0,102523.0,present
5,3,25225.2,present
2,0,1599.0,present
0,0,57673.0,present
12,8,6331.0,present
3,1,9204.0,present
0,0,51559.0,present
0,0,82447.0,present
0,0,113335.0,present
0,0,143599.0,present
15,5,1086.8,present
11,4,1829.5454545454545,present
10,8,1396.2,present
4,1,7936.5,present
15,9,1024.4,present
15,11,956.8,present
14,5,1298.142857142857,present
14,5,1365.0,present
0,0,203752.0,present
1,0,233298.0,present
3,1,5486.0,present
0,0,42292.0,present
0,0,38938.0,present
5,1,11637.6,present
0,0,37846.0,present
2,1,32526.5,present
0,0,229070.0,present
0,0,259958.0,present
0,0,290846.0,present
0,0,321735.0,present
0,0,213331.0,present
0,0,244219.0,present
0,0,275107.0,present
8,4,36708.875,present
10,6,2106.0,present
15,7,1227.2,present
9,1,2470.0,present
8,0,1530.75,present
6,2,4446.0,present
7,1,3476.5714285714284,present
10,2,2652.0,present
6,0,4277.0,present
10,2,2113.8,present
14,2,1766.142857142857,present
7,3,3298.285714285714,present
8,2,2613.0,present
7,4,3409.714285714286,present
16,10,940.875,present
13,7,1326.0,present
12,8,1162.1666666666667,present
10,7,2714.4,present
3,0,8866.333333333334,present
8,6,3120.0,present
10,5,2035.8,present
8,1,3051.75,present
2,0,15093.0,present
7,1,2707.714285714286,present
3,0,10530.0,present
8,0,3812.25,present
11,0,2233.6363636363635,present
14,1,1476.4285714285713,present
10,2,1708.2,present
4,3,6415.5,present
6,1,3965.0,present
0,0,31777.0,present
2,1,29484.0,present
0,0,32089.0,present
0,0,62353.0,present
0,0,38532.0,present
8,2,6093.75,present
3,2,13260.0,present
0,0,33711.0,present
5,4,7581.6,present
0,0,51838.0,present
5,3,5959.2,present
2,1,23907.0,present
1,0,78.0,present
0,0,59077.0,present
3,0,24726.0,present
3,0,8736.0,present
7,3,3454.285714285714,present
3,0,9204.0,present
0,0,31356.0,present
7,2,7454.571428571428,present
3,0,10088.0,present
3,1,4472.0,present
8,7,3120.125,present
4,2,5908.5,present
0,0,44023.0,present
0,0,74599.0,present
2,1,47229.0,present
5,3,3322.8,present
0,0,70137.0,present
8,3,11261.125,present
2,1,2613.0,present
8,5,5440.5,present
0,0,38314.0,present
3,1,16978.0,present
3,1,6604.0,present
3,2,4472.0,present
2,1,12753.0,present
3,2,17992.0,present
2,0,8697.0,present
10,6,2410.2,present
1,0,30499.0,present
6,4,4641.0,present
0,0,35880.0,present
5,3,12168.0,present
6,2,3289.0,present
2,1,7683.0,present
5,2,7035.4,present
2,1,16809.0,present
0,0,35506.0,present
8,3,7244.25,present
3,0,1742.0,present
1,0,45708.0,present
2,0,11739.0,present
1,0,36582.0,present
0,0,62650.0,present
0,0,92914.0,present
0,0,123802.0,present
4,2,35139.25,present
2,0,7683.0,present
8,6,4134.0,present
2,0,15093.0,present
6,2,6476.5,present
2,0,2418.0,present
6,3,6214.166666666667,present
3,2,8502.0,present
0,0,41933.0,present
1,0,70356.0,present
4,2,1170.0,present
2,0,24921.0,present
5,2,3120.0,present
0,0,31622.0,present
6,2,9373.0,present
2,1,8190.0,present
4,1,8775.25,present
